"name";"energy";"protein";"fat";"sacharid";"cholesterol";"vlaknina";"unit";"amount";"idgroup"
"Creme Bonjour kostka";"2610";"0.7";"70";"0.9";"null";"0";"g";"100";"51"
"Zlatá Haná";"2850";"0.1";"85";"0.2";"null";"0";"g";"100";"51"
"Majonézy - 100 g";"null";"null";"null";"null";"null";"null";"g";"null";"0"
"Jogo Majo";"1370";"1.1";"30.3";"13.4";"null";"0";"g";"100";"52"
"Majolka";"3300";"1.5";"80";"0";"78";"0";"g";"100";"52"
"Majonéza Boneco";"3090";"0.8";"82.3";"1.3";"82";"0";"g";"100";"52"
"Majonéza Boneco light";"2010";"0.6";"51.9";"5.1";"51";"0";"g";"100";"52"
"Majonéza light (Hellmans)";"1920";"0.7";"50.7";"3";"51";"0";"g";"100";"52"
"Sojanéza (Kalma)";"1160";"2.5";"23";"14";"0";"0";"g";"100";"52"
"Tatarská omáčka";"2140";"0.8";"54.3";"6.9";"null";"0";"g";"100";"52"
"Tatarská omáčka Sojalife (Racia)";"1110";"1.3";"26.7";"4.9";"0";"0";"g";"100";"52"
"Hotová jídla. přílohy. rychlé občerstvení";"null";"null";"null";"null";"null";"null";"g";"null";"null"
"Hotová jídla sladká";"null";"null";"null";"null";"null";"null";"g";"null";"0"
"Krupicová kaše";"740";"5";"8";"19";"null";"null";"g";"100";"54"
"Palačinky s tvarohem - 1 ks";"710";"7";"7.5";"18";"null";"null";"ks";"100";"54"
"Hotová zmrazená jídla - 100 g";"null";"null";"null";"null";"null";"null";"g";"null";"0"
"Bramborové šišky plněné mákem";"940";"5.7";"4.8";"39.9";"null";"null";"g";"100";"55"
"Kynuté knedlíky s borůvkami";"1140";"6.5";"3.2";"51.7";"null";"null";"g";"100";"55"
"Mexická pizza (Guseppe)";"870";"10.4";"3.8";"33.2";"null";"null";"g";"100";"55"
"Plněné papriky v rajské omáčce";"480";"4.2";"5.8";"11.3";"null";"null";"g";"100";"55"
"Smažené kuřecí Gordon Bleu";"790";"11.4";"9";"16.9";"null";"null";"g";"100";"55"
"Šišky plněné uzeným masem a špenátem";"820";"6.1";"2.6";"36.1";"null";"null";"g";"100";"55"
"Tvarohové knedlíky s meruňkovou náplní";"1230";"8.7";"9.3";"39.3";"null";"null";"g";"100";"55"
"Zelenina se žampiony a rýží (Zgoda)";"390";"3";"0.5";"19.6";"null";"null";"g";"100";"55"
"Zeleninové prsty zmrazené (Nowaco)";"480";"3.9";"0.5";"24";"null";"null";"g";"100";"55"
"Jídla v restauracích nebo závodních jídelnách";"null";"null";"null";"null";"null";"null";"g";"null";"0"
"Čočková";"270";"5";"0.3";"10.5";"0";"2.5";"ks";"1";"56"
"Dršťková";"850";"9";"13";"11";"null";"null";"ks";"1";"56"
"Gulášová";"600";"10";"7.5";"8.5";"28";"1.5";"ks";"1";"56"
"Hovězí";"380";"7.5";"6.5";"2";"52";"2.3";"ks";"1";"56"
"Rajská krémová";"250";"1.5";"3.5";"6.5";"10";"1.5";"ks";"1";"56"
"Slepičí s nudlemi";"720";"20";"3";"15";"7";"0.5";"ks";"1";"56"
"Hlavní jídla - 1 porce (bez přílohy)";"null";"null";"null";"null";"null";"null";"g";"null";"0"
"Biftek";"2040";"53";"31";"0";"null";"0";"ks";"1";"57"
"Hovězí guláš";"1230";"34";"13.2";"8.8";"null";"null";"ks";"1";"57"
"Hovězí na žampionech";"1490";"21";"26";"7";"null";"null";"ks";"1";"57"
"Moravský vrabec";"1580";"16";"32";"4";"null";"0";"ks";"1";"57"
"Přírodní roštěná";"1330";"22";"22";"6";"null";"null";"ks";"1";"57"
"Segedínský guláš";"1960";"14";"40";"10";"null";"null";"ks";"1";"57"
"Španělský ptáček";"1940";"24";"35";"10";"null";"0";"ks";"1";"57"
"Vepřové ražniči";"1370";"19";"25";"4";"null";"0";"ks";"1";"57"
"Vepřový řízek přírodní";"1120";"45";"9";"0.1";"70";"0";"ks";"1";"57"
"Vepřový řízek smažený";"1350";"22.5";"17";"21";"60";"0.6";"ks";"1";"57"
"Znojemský guláš";"1510";"16";"27";"11";"null";"null";"ks";"1";"57"
"Přílohy 100 g";"null";"null";"null";"null";"null";"null";"g";"null";"0"
"Bramborová kaše";"300";"1.8";"1.3";"12";"6";"1.4";"g";"100";"58"
"Bramborové hranolky pečené nasucho";"550";"2.3";"4";"21";"0";"null";"g";"100";"58"
"Bramborové hranolky smaž.";"1220";"4.2";"14.5";"32.5";"0";"3.5";"g";"100";"58"
"Bramborové knedlíky";"720";"4.5";"0.5";"37";"null";"null";"g";"100";"58"
"Bramborové krokety smaž.";"1110";"2.4";"18";"23";"56";"1.3";"g";"100";"58"
"Bramborový salát s majon.";"510";"4";"5";"15";"null";"null";"g";"100";"58"
"Brambory vařené";"290";"2";"0.1";"14.8";"0";"2.1";"g";"100";"58"
"Dušená zelenina (200 g zelen.. 10 g Flory light)";"580";"0.4";"5";"20";"0";"null";"g";"100";"58"
"Houskové knedlíky";"1030";"7.1";"1.1";"51";"null";"null";"g";"100";"58"
"Rýže vařená bílá";"520";"2.4";"0.3";"27.6";"0";"0.2";"g";"100";"58"
"Rýže vařená natural";"540";"2.7";"0.8";"27.3";"0";"1.3";"g";"100";"58"
"Špagety bezvaječné vařené";"550";"5";"1.1";"23.9";"0";"1.5";"g";"100";"58"
"Těstoviny vaječné vařené";"600";"4.9";"1.1";"28";"38";"1.4";"g";"100";"58"
"Topinka na tuku";"1800";"5";"20";"47";"null";"1.5";"g";"100";"58"
"Vařené luštěniny";"440";"8.6";"0.6";"16";"0";"null";"g";"100";"58"
"Ostatní jídla - 1 porce";"null";"null";"null";"null";"null";"null";"g";"null";"0"
"Francouzské brambory";"2600";"21";"32";"59";"null";"null";"ks";"1";"59"
"Pizza se sýrem a sal.-300 g";"3450";"28.5";"41.7";"84";"48";"5";"ks";"1";"59"
"Smažený květák";"2500";"14";"34";"56";"null";"null";"ks";"1";"59"
"Tortellini";"1580";"15.6";"9";"57.5";"150";"4.5";"ks";"1";"59"
"Vegetariánská hotová jídla - 100 g";"null";"null";"null";"null";"null";"null";"g";"null";"0"
"Kostky s koprovou omáčkou (Vegilife)";"290";"7.9";"2.2";"4.4";"0";"null";"g";"100";"60"
"Kuličky s rajčatovou omáčkou (Vegilife)";"500";"10.1";"5.3";"7.6";"0";"null";"g";"100";"60"
"Polévky";"null";"null";"null";"null";"null";"null";"g";"null";"null"
"Sáčkové - porce 0.2 l";"null";"null";"null";"null";"null";"null";"ks";"1";"0"
"Francouzská - Maggi";"250";"1.5";"0.9";"11.4";"null";"null";"ks";"1";"61"
"Francouzská - Vitana";"290";"3.5";"1.6";"9.8";"null";"null";"ks";"1";"61"
"Gulášová - Knorr";"310";"2.2";"2.1";"12";"null";"null";"ks";"1";"61"
"Gulášová - Maggi";"200";"0.9";"2.7";"5";"null";"null";"ks";"1";"61"
